Index;Teilhaushalt;Produktgruppe;Betrag;Richtung;Art;Jahr
5540;Planung, Infrastruktur und Umwelt;Naturschutz und Landschaftspflege;169214;Erträge;Plan;2018
5550;Planung, Infrastruktur und Umwelt;Forstwirtschaft;341340;Erträge;Plan;2018
5610;Planung, Infrastruktur und Umwelt;Umweltschutzmaßnahmen;0;Erträge;Plan;2018
5350;Wirtschaft und Tourismus;Kombinierte Versorgung;2757500;Erträge;Plan;2018
5360;Wirtschaft und Tourismus;Telekommunikationseinrichtungen;0;Erträge;Plan;2018
5370;Wirtschaft und Tourismus;Abfallwirtschaft;0;Erträge;Plan;2018
5710;Wirtschaft und Tourismus;Wirtschaftsförderung;0;Erträge;Plan;2018
5730;Wirtschaft und Tourismus;Allgemeine Einrichtungen und Unternehmen;56620;Erträge;Plan;2018
5750;Wirtschaft und Tourismus;Tourismus;319170;Erträge;Plan;2018
6110;Allgemeine Finanzwirtschaft;Steuern, allgemeine Zuweisungen, allgemeine Umlagen;97565220;Erträge;Plan;2018
6120;Allgemeine Finanzwirtschaft;Sonstige allgemeine Finanzwirtschaft;41300;Erträge;Plan;2018
ST01;Treuhandvermögen;Engelbrecht-Mitifiot-Stiftung;14900;Erträge;Plan;2018
ST03;Treuhandvermögen;Jakob-Wolperth-Stiftung;153;Erträge;Plan;2018
ST04;Treuhandvermögen;Maria-Diehl-Wohlfahrtsfonds;250;Erträge;Plan;2018
ST06;Treuhandvermögen;Carl-Freundenberg-Stiftung;5400;Erträge;Plan;2018
ST07;Treuhandvermögen;Sepp Herberger Grabpflege;0;Erträge;Plan;2018
